"Source:","/home/florian/projecten/glycon/doc/kicad/glycon_rev1.0/glycon_02_16.kicad_sch"
"Date:","ma 11 apr 2022 14:59:46 CEST"
"Tool:","Eeschema (6.99.0-588-g9b3e9082d3)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied Price/Stock","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"13","1","SW1","SW_Push_Open","Switch:SW_Push_Open","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","","","",""
"14","1","SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","","","","","","",""
"15","1","U0","Z80CPU","CPU:Z80CPU","Package_DIP:DIP-40_W15.24mm_Socket","www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080","","","","","","","","","",""
"16","1","U1","628128_DIP32_SSOP32","Memory_RAM:628128_DIP32_SSOP32","Package_DIP:DIP-32_W15.24mm_Socket","http://www.futurlec.com/Datasheet/Memory/628128.pdf","","","","","","","","","",""
"17","1","U2","SST39SF010","Memory_Flash:SST39SF010","Package_DIP:DIP-32_W15.24mm_Socket","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf","","","","","","","","","",""
"18","1","U3","74HC32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32","","","","","","","","","",""
"19","1","U4","74HC04","74xx:74HC04","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","","","","","","","","","",""
"20","1","U5","74LS21","74xx:74LS21","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS21","","","","","","","","","",""
"21","1","U6","74LS139","74xx:74LS139","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","","","","","","","","",""
"22","1","U7","SIO0-DIP-40","Zilog_Z80_Peripherals:SIO0-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0183.pdf","https://www.alliedelec.com/zilog-z84c4206peg/R1000052/","R1000052","Z80 CMOS SIO/0 Z84C40 Zilog","4.06","Zilog","Z84C4206PEG","692-Z84C4206PEG","https://www.mouser.com/Search/Refine.aspx?Keyword=692-Z84C4206PEG","6600766","https://uk.rs-online.com/web/p/products/6600766"
"23","2","U8, U11","PIO-DIP-40","Zilog_Z80_Peripherals:PIO-DIP-40","Package_DIP:DIP-40_W15.24mm_Socket","https://www.zilog.com/appnotes_download.php?FromPage=DirectLink&dn=PS0180&ft=Product%20Specification%20(Data%20Sheet)%20%20&f=YUhSMGNEb3ZMM2QzZHk1NmFXeHZaeTVqYjIwdlpHOWpjeTk2T0RBdmNITXdNVGd3TG5Ca1pnPT0=","","","","","","","","","",""
"24","2","U9, U10","74HC244","74xx:74HC244","Package_DIP:DIP-20_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","","","","","","","","","",""
"25","1","X1","ACO-6.144MHz","Oscillator:ACO-xxxMHz","Oscillator:Oscillator_DIP-14","http://www.conwin.com/datasheets/cx/cx030.pdf","","","","","","","","","",""
